relation,display_relation,x_id,x_type,x_name,x_source,y_id,y_type,y_name,y_source
indication,indication,DB00262,drug,Carmustine,DrugBank,100342,disease,malignant glioma,MONDO
drug_drug,synergistic interaction,DB00055,drug,Drotrecogin alfa,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00237,drug,Butabarbital,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00250,drug,Dapsone,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00338,drug,Omeprazole,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00340,drug,Metixene,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00363,drug,Clozapine,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00396,drug,Progesterone,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00412,drug,Rosiglitazone,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00458,drug,Imipramine,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00571,drug,Propranolol,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00941,drug,Hexafluronium,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01014,drug,Balsalazide,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01036,drug,Tolterodine,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01124,drug,Tolbutamide,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01226,drug,Mivacurium,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01285,drug,Corticotropin,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01364,drug,Ephedrine,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB04846,drug,Celiprolol,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB06414,drug,Etravirine,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB08816,drug,Ticagrelor,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB08970,drug,Fluprednidene,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB09007,drug,Chlorphenoxamine,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB11154,drug,Zinc citrate,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB11529,drug,Melengestrol,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB11770,drug,Talinolol,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB12086,drug,Oxitropium,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00055,drug,Drotrecogin alfa,DrugBank,DB11478,drug,Zeranol,DrugBank
drug_drug,synergistic interaction,DB00072,drug,Trastuzumab,DrugBank,DB11478,drug,Zeranol,DrugBank
drug_drug,synergistic interaction,DB00089,drug,Capromab pendetide,DrugBank,DB11478,drug,Zeranol,DrugBank
drug_drug,synergistic interaction,DB00095,drug,Efalizumab,DrugBank,DB11478,drug,Zeranol,DrugBank
drug_drug,synergistic interaction,DB00458,drug,Imipramine,DrugBank,DB11478,drug,Zeranol,DrugBank
drug_drug,synergistic interaction,DB01124,drug,Tolbutamide,DrugBank,DB11478,drug,Zeranol,DrugBank
drug_drug,synergistic interaction,DB01285,drug,Corticotropin,DrugBank,DB11478,drug,Zeranol,DrugBank
