node_index,node_id,node_type,node_name,node_source
105550,6154,biological_process,adenosine catabolic process,GO
11212,1362,Protein,CPD,NCBI
113445,15861,biological_process,cytidine transport,GO
104660,1901253,biological_process,negative regulation of intracellular transport of viral material,GO
67175,5243,anatomy,interventricular septum endocardium,UBERON
60463,341346,Protein,SMCO2,NCBI
4940,196441,Protein,ZFC3H1,NCBI
18734,DB02326,drug,1-Hydroxyamine-2-Isobutylmalonic Acid,DrugBank
59320,653689,Protein,GSTT2B,NCBI
98304,17488,disease,"ulnar hemimelia, bilateral",MONDO
94305,32231,Phenotype,Hypochromia,HPO
107479,1905236,biological_process,cellular response to quercetin,GO
98747,19879,disease,distal trisomy 4q,MONDO
122910,36218,molecular_function,dTTP diphosphatase activity,GO
120997,1990472,molecular_function,piRNA dual-strand cluster binding,GO
29724,10882,disease,aphalangy-syndactyly-microcephaly syndrome,MONDO
20274,DB00650,drug,Leucovorin,DrugBank
66417,4323,anatomy,middle phalanx of manual digit 5,UBERON
20017,DB03062,drug,(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone,DrugBank
60395,145407,Protein,ARMH4,NCBI
126149,938,cellular_component,GARP complex,GO
108181,1904456,biological_process,negative regulation of neuronal action potential,GO
27520,8354,disease,purpura simplex,MONDO
7242,57508,Protein,INTS2,NCBI
57569,643008,Protein,SMIM5,NCBI
36873,2168,disease,rectum sarcoma,MONDO
31042,8168,disease,ovarian fibroma (disease),MONDO
38668,17693,disease,glycogen storage disease due to glycogen synthase deficiency,MONDO
120158,46820,molecular_function,4-amino-4-deoxychorismate synthase activity,GO
122248,33941,molecular_function,"mannan exo-1,2-1,6-alpha-mannosidase activity",GO
113772,46960,biological_process,sensitization,GO
120122,50639,molecular_function,10-hydroxytaxane O-acetyltransferase activity,GO
8601,57093,Protein,TRIM49,NCBI
58516,28822,Protein,IGLV1-47,NCBI
110882,18122,biological_process,peptidyl-asparagine ADP-ribosylation,GO
120928,33608,molecular_function,formyl-CoA transferase activity,GO
113585,10910,biological_process,positive regulation of heparan sulfate proteoglycan biosynthesis by positive regulation of epimerase activity,GO
123135,15279,molecular_function,store-operated calcium channel activity,GO
12325,9381,Protein,OTOF,NCBI
44500,34127,biological_process,regulation of MyD88-independent toll-like receptor signaling pathway,GO
63715,1266,anatomy,splenic cord,UBERON
26157,31228,Phenotype,Abnormal incisura morphology,HPO
56647,54760,Protein,PCSK4,NCBI
79682,106480740,Protein,GK-IT1,NCBI
95092,18452,disease,deficiency of the interleukin-36 receptor antagonist,MONDO
70927,12462,anatomy,proctodeum portion of cloaca,UBERON
80581,101927176,Protein,LINC01069,NCBI
20972,DB14485,drug,Zinc ascorbate,DrugBank
101533,1904579,biological_process,cellular response to thapsigargin,GO
103351,1904940,biological_process,negative regulation of DNA nucleotidylexotransferase activity,GO
121039,102048,molecular_function,indole-3-acetyl-isoleucine synthetase activity,GO
49995,60049,biological_process,regulation of protein glycosylation,GO
43685,42728,biological_process,flavin-containing compound catabolic process,GO
27084,500053,Phenotype,Retinopathy of prematurity stage 4,HPO
81567,101927233,Protein,SEMA6A-AS1,NCBI
15881,DB06401,drug,Bazedoxifene,DrugBank
28971,12253,disease,"multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",MONDO
53315,16198,biological_process,axon choice point recognition,GO
115196,33867,molecular_function,Fas-activated serine/threonine kinase activity,GO
39590,15273,disease,complete atrioventricular canal,MONDO
128649,R-HSA-5619046,pathway,Defective SLC26A4 causes Pendred syndrome (PDS),REACTOME
78516,100132380,Protein,AGGF1P1,NCBI
108434,60335,biological_process,positive regulation of interferon-gamma-mediated signaling pathway,GO
79759,100852410,Protein,ZRANB2-AS2,NCBI
49134,45615,biological_process,positive regulation of plasmatocyte differentiation,GO
50092,33073,biological_process,pinene metabolic process,GO
2724,29974,Protein,A1CF,NCBI
75316,2005019,anatomy,efferent lamellar arteriole,UBERON
89578,12827,Phenotype,Borderline,HPO
30554,12286,disease,"myopathy, autophagic vacuolar, infantile-onset",MONDO
23891,2999,Phenotype,Patellar dislocation,HPO
46079,48681,biological_process,negative regulation of axon regeneration,GO
112605,1904108,biological_process,protein localization to ciliary inversin compartment,GO
129007,R-HSA-877312,pathway,Regulation of IFNG signaling,REACTOME
20153,DB00340,drug,Metixene,DrugBank
52525,34352,biological_process,positive regulation of glial cell apoptotic process,GO
93637,200057,Phenotype,Marcus Gunn pupil,HPO
101204,42188,biological_process,"1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane catabolic process",GO
22387,3000030,Phenotype,Abnormality of bony orbit of skull,HPO
124452,9427,cellular_component,"bacterial-type flagellum basal body, distal rod, L ring",GO
12739,64145,Protein,RBSN,NCBI
105396,90103,biological_process,cochlea morphogenesis,GO
56617,28655,Protein,TRAV27,NCBI
14004,113277,Protein,TMEM106A,NCBI
58135,285498,Protein,RNF212,NCBI
72675,19208,anatomy,anterior pole of lens,UBERON
86068,4991,Phenotype,Rhizomelic arm shortening,HPO
28995,8408_10058,disease,scapuloperoneal spinal muscular atrophy,MONDO_grouped
88034,9897,Phenotype,Horizontal crus of helix,HPO
82623,727758,Protein,ROCK1P1,NCBI
116328,47855,molecular_function,dihydrobunolol dehydrogenase activity,GO
89108,12048,Phenotype,Oromandibular dystonia,HPO
102519,1902185,biological_process,positive regulation of shoot apical meristem development,GO
82744,100616434,Protein,MIR4755,NCBI
13631,7275,Protein,TUB,NCBI
63787,1338,anatomy,urethral gland,UBERON
3885,57786,Protein,RBAK,NCBI
125440,1990354,cellular_component,activated SUMO-E1 ligase complex,GO
102431,140300,biological_process,serine import into mitochondrion,GO
99623,25389,disease,"brucellosis, bovine",MONDO
106497,10187,biological_process,negative regulation of seed germination,GO
48265,2000201,biological_process,negative regulation of ribosomal subunit export from nucleus,GO
111510,19545,biological_process,arginine catabolic process to succinate,GO
63007,R-HSA-9614085,pathway,FOXO-mediated transcription,REACTOME
61759,D008345,exposure,Manganese,CTD
56954,124402,Protein,UBALD1,NCBI
13964,55786,Protein,ZNF415,NCBI
40432,30397,biological_process,membrane disassembly,GO
66022,3851,anatomy,diencephalon neural crest,UBERON
15962,DB12670,drug,Rolofylline,DrugBank
4577,642,Protein,BLMH,NCBI
127794,R-HSA-9670095,pathway,Inhibition of DNA recombination at telomere,REACTOME
13938,56670,Protein,SUCNR1,NCBI
89371,12502,Phenotype,Abnormality of the internal capsule,HPO
76405,4200045,anatomy,articular surface for the astragalus on the calcaneum,UBERON
3896,9873,Protein,FCHSD2,NCBI
47575,2026,biological_process,regulation of the force of heart contraction,GO
37178,5026,disease,endometrioid adenocarcinoma,MONDO
16578,DB06699,drug,Degarelix,DrugBank
3833,23077,Protein,MYCBP2,NCBI
71864,15125,anatomy,anterior internodal tract,UBERON
113525,2000415,biological_process,positive regulation of fibronectin-dependent thymocyte migration,GO
108548,2000579,biological_process,"positive regulation of ATP-dependent microtubule motor activity, minus-end-directed",GO
28811,9067_19745_19746,disease,cystinuria,MONDO_grouped
57336,338879,Protein,RNASE10,NCBI
91676,32267,Phenotype,Empty delta sign,HPO
101685,1903098,biological_process,negative regulation of CENP-A containing nucleosome assembly,GO
1879,30844,Protein,EHD4,NCBI
35419,100151683,Protein,RNU4ATAC,NCBI
99358,22986,disease,diffuse idiopathic pulmonary neuroendocrine cell hyperplasia,MONDO
50152,39657,biological_process,suppression by virus of host gene expression,GO
105124,1901268,biological_process,cephalosporin C biosynthetic process,GO
118770,103077,molecular_function,quercetin 3-glucoside 7-O-rhamnosyltransferase activity,GO
120618,46408,molecular_function,chlorophyll synthetase activity,GO
84993,1894,Phenotype,Thrombocytosis,HPO
63703,1254,anatomy,urothelium of ureter,UBERON
41839,31337,biological_process,positive regulation of sulfur amino acid metabolic process,GO
84345,219,Phenotype,Thin upper lip vermilion,HPO
48502,2000434,biological_process,regulation of protein neddylation,GO
38065,24468,disease,anterior pituitary gland disease,MONDO
92589,33475,Phenotype,Limited shoulder abduction,HPO
58680,128854,Protein,TSPY26P,NCBI
14579,DB00507,drug,Nitazoxanide,DrugBank
22536,2795,Phenotype,Abnormal respiratory system physiology,HPO
100056,71700,biological_process,olfactory placode maturation,GO
26938,282,Phenotype,Facial edema,HPO
125517,70209,cellular_component,ASTRA complex,GO
55930,31597,cellular_component,cytosolic proteasome complex,GO
5737,23334,Protein,SZT2,NCBI
100526,60745,biological_process,mammary gland branching involved in pregnancy,GO
95469,1282,disease,fallopian tube endometriosis,MONDO
30577,13208,disease,cirrhosis - dystonia - polycythemia - hypermanganesemia syndrome,MONDO
2813,2207,Protein,FCER1G,NCBI
103925,1904219,biological_process,positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity,GO
110590,7615,biological_process,anesthesia-resistant memory,GO
97130,5716,disease,contagious pleuropneumonia,MONDO
71595,14682,anatomy,tooth whorl,UBERON
43115,52361,biological_process,catabolism by organism of macromolecule in other organism involved in symbiotic interaction,GO
