node_index,node_id,node_type,node_name,node_source
48404,1904229,biological_process,regulation of succinate dehydrogenase activity,GO
114796,3391,biological_process,amphid sensory organ dendrite retrograde extension,GO
117110,1902248,molecular_function,5-O-phosphono-alpha-D-ribofuranosyl diphosphate binding,GO
45744,32880,biological_process,regulation of protein localization,GO
24036,5474,effect/phenotype,Decreased calvarial ossification,HPO
59145,390649,gene/protein,OR4F15,NCBI
44108,101025,biological_process,nuclear membrane biogenesis,GO
71194,13538,anatomy,Brodmann (1909) area 7,UBERON
55322,4567,molecular_function,beta-mannosidase activity,GO
67397,5486,anatomy,venous dural sinus,UBERON
109831,14826,biological_process,vein smooth muscle contraction,GO
103140,19504,biological_process,stachydrine catabolic process,GO
52184,31440,biological_process,regulation of mRNA 3'-end processing,GO
60954,677816,gene/protein,SNORA35,NCBI
107642,3267,biological_process,canonical Wnt signaling pathway involved in positive regulation of secondary heart field cardioblast proliferation,GO
21475,DB13735,drug,Potassium Guaiacolsulfonate,DrugBank
13585,113246,gene/protein,C12orf57,NCBI
34812,84709,gene/protein,MGARP,NCBI
96434,3881,disease,vulvar apocrine adenocarcinoma,MONDO
26395,25646,effect/phenotype,Bilateral polymicrogyria,HPO
55561,1990204,cellular_component,oxidoreductase complex,GO
78101,26866,gene/protein,RNU1-28P,NCBI
89769,25023,effect/phenotype,Rectal atresia,HPO
19240,DB04150,drug,"N-alpha-Acetyl-3,5-diiodotyrosyl-D-threonine",DrugBank
45406,70588,biological_process,calcium ion transmembrane transport,GO
65126,2715,anatomy,spinal trigeminal tract of medulla,UBERON
90726,30859,effect/phenotype,Anti-topoisomerase I antibody positivity,HPO
87787,9328,effect/phenotype,Pseudoepiphysis of the middle phalanx of the 3rd finger,HPO
115221,102896,molecular_function,colnelenate synthase activity,GO
60298,100126800,gene/protein,SNAR-A12,NCBI
8075,344022,gene/protein,NOTO,NCBI
121750,47457,molecular_function,"exo-(1,4)-alpha-D-glucan lyase activity",GO
112041,1902197,biological_process,isovaleryl-CoA(4-) biosynthetic process,GO
35803,24422,disease,auditory perceptual disorders,MONDO
80022,102724668,gene/protein,DPY19L1P2,NCBI
70743,12138,anatomy,pedal digit 8,UBERON
90556,30596,effect/phenotype,Abnormal Humphrey SITA 30-2 perimetry test,HPO
14473,DB13421,drug,Edoxudine,DrugBank
70619,11921,anatomy,connecting stalk blood islands,UBERON
